date,geo,impressions,clicks,revenue,CTR,RPC
2016-01-01 00:00:00.000,CA,3425,63,334,1.8394160583941606,5.301587301587301
2016-01-02 00:00:00.000,CA,1354,53,465,3.914327917282127,8.773584905660377
2016-01-03 00:00:00.000,CA,5258,36,234334,0.6846709775580069,6509.277777777777
2016-01-04 00:00:00.000,CA,7854,85,36,1.0822510822510822,0.4235294117647059
2016-01-05 00:00:00.000,CA,4678,73,68,1.5604959384352288,0.9315068493150684
2016-01-01 00:00:00.000,MN,1342,784,NULL,58.42026825633383,NULL
2016-01-02 00:00:00.000,MN,2366,85,NULL,3.592561284868977,NULL
2016-01-03 00:00:00.000,MN,5783,87,NULL,1.504409476050493,NULL
2016-01-04 00:00:00.000,MN,9345,24,NULL,0.2568218298555377,NULL
2016-01-05 00:00:00.000,MN,3452,25,NULL,0.7242178447276941,NULL
2016-01-01 00:00:00.000,NY,3532,25,284,0.7078142695356738,11.36
2016-01-02 00:00:00.000,NY,4643,85,2574,1.8307129011415033,30.28235294117647
2016-01-03 00:00:00.000,NY,4735,63,3479,1.33051742344245,55.22222222222222
2016-01-04 00:00:00.000,NY,4754,36,45289,0.7572570466975179,1258.0277777777778
2016-01-05 00:00:00.000,NY,2364,33,358,1.3959390862944163,10.848484848484848
2016-01-01 00:00:00.000,TX,2532,45,654,1.7772511848341233,14.533333333333333
2016-01-02 00:00:00.000,TX,3643,23,5765,0.631347790282734,250.65217391304347
2016-01-03 00:00:00.000,TX,2353,57,423,2.4224394390140245,7.421052631578948
2016-01-04 00:00:00.000,TX,5783,47,2357,0.8127269583261283,50.148936170212764
2016-01-05 00:00:00.000,TX,2535,63,427,2.485207100591716,6.777777777777778
